Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified,Year_Group,Topic,resumo
"Understanding the relationship between marketing analytics, customer agility, and customer satisfaction: A longitudinal perspective.","Agag, G; Shehawy, YM; Almoraish, A; Eid, R; Lababdi, HC; Labben, TG; Abdo, SS",2024,10.1016/j.jretconser.2023.103663,"Shifting towards a more data-driven culture is a key antecedent of business success in today's digital era. Previous research has paid attention to exploring the influence of marketing analytics on business performance, and rarely examined how the use of marketing analytics influences customer agility and satisfaction. According to the dynamic capabilities view and using previous studies, we developed a conceptual framework to explore the effect of marketing analytics use on customer agility and customer satisfaction. In Study 1, we utilised cross-sectional data collected from 468 managers from various industries. In study 2, we employed longitudinal data in a threewave longitudinal utilising a cross-lagged panel model. Study 1 indicated that data acquisition and tool acquisition are key drivers in adopting marketing analytics. Marketing analytics use has stronger effect on customer agility when market turbulence is high. They also revealed that the influence of customer agility on customer satisfaction in such conditions is stronger. Study 2 revealed that marketing analytics use at time point T1 has a significant and positive influence on customer agility at time point T2, while customer agility at time point T2 has a significant and positive influence on customer satisfaction at time point T3. These findings indicate strong temporal effects between marketing analytics use, customer agility, and customer satisfaction. The findings suggest that researchers should look beyond direct effects of marketing analytics use and shift their attention on how a marketing analytics can be leveraged to enable and support dynamic capabilities and customer satisfaction.",Marketing analytics use; Customer agility; Customer satisfaction; Data-driven culture; Market turbulence,ELSEVIER SCI LTD,wos-big data,24,Thinking AI,"marketing analytics, customer agility, customer satisfaction, data acquisition, market turbulence","The abstract discusses the use of marketing analytics and its impact on customer agility and satisfaction, which aligns with the focus on market analysis, targeting, and personalization found in Thinking AI. The emphasis on the relationships and temporal effects between marketing analytics use and customer outcomes indicates a strategic analysis approach to marketing rather than emotional or purely mechanical processes.",10%,15%,75%,0%,0%,"[2023, 2025)",Marketing analytics,"A transição para uma cultura mais orientada a dados é um fator chave para o sucesso empresarial na era digital atual. Pesquisas anteriores focaram na influência da análise de marketing no desempenho dos negócios, raramente examinando como o uso da análise de marketing afeta a agilidade e a satisfação do cliente. Com base na visão das capacidades dinâmicas e em estudos anteriores, desenvolvemos um modelo conceitual para explorar o efeito do uso da análise de marketing na agilidade e satisfação do cliente. No Estudo 1, utilizamos dados transversais coletados de 468 gerentes de diversas indústrias. No Estudo 2, empregamos dados longitudinais em um modelo de painel cruzado em três ondas. O Estudo 1 indicou que a aquisição de dados e ferramentas são fatores-chave na adoção da análise de marketing. O uso da análise de marketing tem um efeito mais forte na agilidade do cliente em condições de alta turbulência de mercado, revelando que a influência da agilidade do cliente na satisfação do cliente é mais forte nessas condições. O Estudo 2 mostrou que o uso da análise de marketing no ponto T1 tem uma influência positiva significativa na agilidade do cliente no ponto T2, enquanto a agilidade do cliente no ponto T2 tem uma influência positiva significativa na satisfação do cliente no ponto T3. Esses resultados indicam fortes efeitos temporais entre o uso da análise de marketing, a agilidade do cliente e a satisfação do cliente, sugerindo que os pesquisadores devem ir além dos efeitos diretos do uso da análise de marketing e focar em como essa análise pode ser aproveitada para habilitar e apoiar capacidades dinâmicas e a satisfação do cliente."
An emoji feature-incorporated multi-view deep learning for explainable sentiment classification of social media reviews,Xu Q.A.; Jayne C.; Chang V.,2024,10.1016/j.techfore.2024.123326,"Sentiment analysis has demonstrated its value in a range of high-stakes domains. From financial markets to supply chain management, logistics, and technology legitimacy assessment, sentiment analysis offers insights into public sentiment, actionable data, and improved decision forecasting. This study contributes to this growing body of research by offering a novel multi-view deep learning approach to sentiment analysis that incorporates non-textual features like emojis. The proposed approach considers both textual and emoji views as distinct views of emotional information for the sentiment classification model, and the results acknowledge their individual and combined contributions to sentiment analysis. Comparative analysis with baseline classifiers reveals that incorporating emoji features significantly enriches sentiment analysis, enhancing the accuracy, F1-score, and execution time of the proposed model. Additionally, this study employs LIME for explainable sentiment analysis to provide insights into the model's decision-making process, enabling high-stakes businesses to understand the factors driving customer sentiment. The present study contributes to the literature on multi-view text classification in the context of social media and provides an innovative analytics method for businesses to extract valuable emotional information from electronic word of mouth (eWOM), which can help them stay ahead of the competition in a rapidly evolving digital landscape. In addition, the findings of this paper have important implications for policy development in digital communication and social media monitoring. Recognizing the importance of emojis in sentiment expression can inform policies by helping them better understand public sentiment and tailor policy solutions that better address the concerns of the public. © 2024 The Author(s)",Explainable sentiment analysis; High-stakes decision forecasting; Marketing analytics; Multi-view learning; Social media reviews,Elsevier Inc.,scopus-machine learning,8,Feeling AI,"sentiment analysis, emotional information, customer sentiment, emojis, public sentiment","The abstract discusses the use of sentiment analysis to understand customer emotions and public sentiment, particularly through the incorporation of non-textual features like emojis. This aligns with the focus on customer understanding, emotional data, and relationalization as part of Feeling AI. The study's implications for businesses to extract valuable emotional information further reinforce its connection to understanding and meeting customer emotional needs.",70%,10%,15%,0%,5%,"[2023, 2025)",Marketing analytics,"A análise de sentimentos demonstrou seu valor em diversas áreas críticas, como mercados financeiros, gestão da cadeia de suprimentos, logística e avaliação da legitimidade tecnológica. Este estudo contribui para essa crescente área de pesquisa ao apresentar uma nova abordagem de aprendizado profundo de múltiplas visões para análise de sentimentos, que incorpora características não textuais, como emojis. A abordagem proposta considera as visões textual e de emojis como distintas para o modelo de classificação de sentimentos, reconhecendo suas contribuições individuais e combinadas. A análise comparativa com classificadores de referência revela que a inclusão de características de emojis enriquece significativamente a análise de sentimentos, melhorando a precisão, a pontuação F1 e o tempo de execução do modelo proposto. Além disso, o estudo utiliza LIME para análise de sentimentos explicável, proporcionando insights sobre o processo de tomada de decisão do modelo, permitindo que empresas de alto risco compreendam os fatores que influenciam o sentimento do cliente. Este estudo contribui para a literatura sobre classificação de texto de múltiplas visões no contexto das mídias sociais e oferece um método analítico inovador para que as empresas extraiam informações emocionais valiosas do boca a boca eletrônico (eWOM), ajudando-as a se manterem à frente da concorrência em um cenário digital em rápida evolução. Os achados têm implicações importantes para o desenvolvimento de políticas em comunicação digital e monitoramento de mídias sociais, reconhecendo a importância dos emojis na expressão de sentimentos, o que pode informar políticas ao ajudar a entender melhor o sentimento público e adaptar soluções que atendam melhor às preocupações da população."
Teaching marketing analytics: a pricing case study for quantitative and substantive marketing skills,Skiera B.; Jürgensmeier L.,2024,10.1057/s41270-024-00313-2,"This article describes a data-driven case study for teaching and assessing students’ skills in marketing analytics, specifically in pricing. This case study combines teaching econometrics to analyze data and substantive marketing to derive managerial insights. The econometric challenge requires students to set up and implement a regression analysis to derive the demand function, detect multicollinearity, and select appropriate data visualizations. The substantive challenge requires deriving optimal pricing decisions and understanding how the parameters of the demand function impact optimal prices and the associated profit. We test the case study in a marketing analytics exam and discuss the performance of 134 students. Beyond assessing student performance in an exam, the case study facilitates teaching through in-class group work or assignments. Free of charge, under a liberal CC BY license, we encourage other educators to use the case study in their teaching. We provide the necessary data and a sample solution using the statistical programming language R. © The Author(s) 2024.",Case study; Data science; Education; Marketing analytics; Pricing; Teaching,Palgrave Macmillan,scopus-data science,1,Thinking AI,"marketing analytics, pricing, regression analysis, demand function, optimal pricing, managerial insights","The abstract focuses on a case study that teaches and assesses students' skills in marketing analytics, particularly in pricing strategies and econometrics. The emphasis on analyzing data to derive managerial insights and making optimal pricing decisions aligns closely with the 'Market analysis' and 'Targeting' aspects of Thinking AI. The use of regression analysis and demand functions suggests a strategic analytical approach rather than automation or emotional understanding.",0%,0%,100%,0%,0%,"[2023, 2025)",Marketing analytics,"Este artigo descreve um estudo de caso orientado por dados para ensinar e avaliar as habilidades dos alunos em análise de marketing, especificamente em precificação. O estudo combina o ensino de econometria para análise de dados e marketing substancial para derivar insights gerenciais. O desafio econométrico exige que os alunos configurem e implementem uma análise de regressão para derivar a função de demanda, detectem multicolinearidade e selecionem visualizações de dados apropriadas. O desafio substancial requer a derivação de decisões de precificação ótimas e a compreensão de como os parâmetros da função de demanda impactam os preços ótimos e o lucro associado. Testamos o estudo de caso em um exame de análise de marketing e discutimos o desempenho de 134 alunos. Além de avaliar o desempenho dos alunos em um exame, o estudo de caso facilita o ensino por meio de trabalho em grupo em sala de aula ou tarefas. Gratuitamente, sob uma licença liberal CC BY, incentivamos outros educadores a utilizarem o estudo de caso em seu ensino. Fornecemos os dados necessários e uma solução de exemplo usando a linguagem de programação estatística R."
Does marketing analytics capability boost firms' competitive marketing performance in data-rich business environment?,Rahman M.S.; Hossain M.A.; Abdel Fattah F.A.M.,2022,10.1108/JEIM-05-2020-0185,"Purpose: Few well-documented studies have explained the importance of researching firms' marketing analytics capability (FMAC). In spite of its significance, there is scant attention to conceptualising and empirically investigating FMAC and its consequences in a data-driven business context. Thus, this study aims to develop and test a conceptual model that relates FMAC and its repercussions in the data-rich business environment. Design/methodology/approach: This study analysed the data from 250 managers amongst large and medium-sized manufacturing and service-intensive firms. Furthermore, this research performed an empirical study by using operationalised questionnaire survey method to verify the hypotheses and reach its theoretical and managerial implications. Structural equation modelling with maximum-likelihood estimation method was applied to verify the validity of the proposed research model. Findings: Multivariate analysis results show that FMAC significantly influences firms' competitive marketing performance (FCMP) with the presence of holistic marketing decision-making (HMDM) as a mediator. Moreover, adoption of artificial intelligence (AAI) enhances the relationship of FMAC-HMDM and FMAC-FCMP linkages. Practical implications: This study analyses how FMAC can enhance FCMP and contributes to resource-based views and technological capability theories. From a managerial perspective, guidelines are provided for marketers to adopt advance technologies, such as AI, to optimise FMAC and HMDM to achieve competitive marketing performance. Originality/value: Believing that “how to be competitive in marketing performance under data-rich-environment”, this research is the first to use the data of a firm manager to facilitate the understanding of FMAC, which provides a new direction for improving marketing performance. In addition, HMDM and AAI are also proposed for firms to optimise FCMP. © 2021, Emerald Publishing Limited.",Artificial intelligence; Competitive marketing performance; Holistic marketing decision; Marketing analytics capability,Emerald Group Holdings Ltd.,scopus-ai,36,Thinking AI,"marketing analytics capability, competitive marketing performance, holistic marketing decision-making, adoption of artificial intelligence, empirical study","The abstract discusses the relationship between firms' marketing analytics capability (FMAC) and their competitive marketing performance (FCMP), emphasizing the importance of market analysis and decision-making in a data-driven environment. The mention of using artificial intelligence to enhance these relationships further aligns with the strategic analysis focus of Thinking AI.",0%,0%,100%,0%,0%,"[2021, 2023)",Marketing analytics,"Este estudo investiga a capacidade analítica de marketing das empresas (FMAC) e suas consequências em um ambiente empresarial rico em dados. A pesquisa analisou dados de 250 gerentes de empresas de médio e grande porte nos setores de manufatura e serviços. Utilizando um questionário operacionalizado, o estudo testou hipóteses e aplicou modelagem de equações estruturais para validar o modelo proposto. Os resultados mostram que a FMAC influencia significativamente o desempenho competitivo de marketing das empresas (FCMP), mediado pela tomada de decisão de marketing holística (HMDM). Além disso, a adoção de inteligência artificial (AAI) fortalece as relações entre FMAC-HMDM e FMAC-FCMP. As implicações práticas sugerem que os profissionais de marketing adotem tecnologias avançadas, como IA, para otimizar FMAC e HMDM, visando melhorar o desempenho de marketing competitivo. Este estudo é pioneiro ao utilizar dados de gerentes para entender a FMAC, propondo novas direções para aprimorar o desempenho de marketing."
"Marketing analytics capability, artificial intelligence adoption, and firms? competitive advantage: Evidence from the manufacturing industry","Hossain, MA; Agnihotri, R; Rushan, MRI; Rahman, MS; Sumi, SF",2022,10.1016/j.indmarman.2022.08.017,"Data-driven analytics and artificial intelligence (AI) have become the most crucial aspects of today's industrial marketing management. Although many firms have embraced analytics and AI strategies, corresponding academic advances have been slow. This research investigates how industrial goods manufacturers sustain their competitive advantage in export markets, convincing buyers in a competitive data-rich business environment. The evidence has been taken from the RMG (readymade garment) industry, one of the largest manufacturing industries significantly attached to the export markets. Utilizing multi-phase research design, the study reveals that firms marketing analytics capability play a vital role in sensing, seizing, and reconfiguring the market, consequently leading to a sustained competitive advantage. The performance of sensing, seizing, and reconfiguring becomes higher for a firm when they adopt AI on the strength of the marketing analytics platform. These findings exhibit the latest avenue of exploration within marketing analytics and AI's academic research paradigm. Further, in practice, managers will be aware of the facts that create resilience in this specific industry context.",Marketing analytics capability; AI adoption; Market sensing; Market seizing; Market reconfiguration; Manufacturing industry; B2B export market,ELSEVIER SCIENCE INC,wos-ai,42,Thinking AI,"marketing analytics, competitive advantage, data-rich business environment, sensing, seizing, reconfiguring","The abstract discusses the role of marketing analytics and AI in sustaining competitive advantage, particularly in the context of the RMG industry. It emphasizes the importance of analyzing market conditions and leveraging data to enhance performance, which aligns closely with the definition of Thinking AI focused on market analysis and identifying competitive advantages.",0%,0%,100%,0%,0%,"[2021, 2023)",Marketing analytics,"A análise orientada por dados e a inteligência artificial (IA) tornaram-se aspectos cruciais na gestão de marketing industrial atual. Embora muitas empresas tenham adotado estratégias de análise e IA, os avanços acadêmicos correspondentes têm sido lentos. Esta pesquisa investiga como os fabricantes de bens industriais mantêm sua vantagem competitiva em mercados de exportação, convencendo compradores em um ambiente de negócios rico em dados. As evidências foram obtidas da indústria de vestuário pronto (RMG), uma das maiores indústrias de manufatura fortemente ligada aos mercados de exportação. Utilizando um design de pesquisa em múltiplas fases, o estudo revela que a capacidade de análise de marketing das empresas desempenha um papel vital na percepção, aproveitamento e reconfiguração do mercado, levando a uma vantagem competitiva sustentada. O desempenho na percepção, aproveitamento e reconfiguração é maior para uma empresa quando ela adota IA com base na plataforma de análise de marketing. Esses achados mostram uma nova avenida de exploração dentro do paradigma de pesquisa acadêmica em análise de marketing e IA. Além disso, na prática, os gerentes estarão cientes dos fatores que criam resiliência nesse contexto industrial específico."
Retail forecasting: Research and practice,Fildes R.; Ma S.; Kolassa S.,2022,10.1016/j.ijforecast.2019.06.004,"This paper reviews the research literature on forecasting retail demand. We begin by introducing the forecasting problems that retailers face, from the strategic to the operational, as sales are aggregated over products to stores and to the company overall. Aggregated forecasting supports strategic decisions on location. Product-level forecasts usually relate to operational decisions at the store level. The factors that influence demand, and in particular promotional information, add considerable complexity, so that forecasters potentially face the dimensionality problem of too many variables and too little data. The paper goes on to evaluate evidence on comparative forecasting accuracy. Although causal models outperform simple benchmarks, adequate evidence on machine learning methods has not yet accumulated. Methods for forecasting new products are examined separately, with little evidence being found on the effectiveness of the various approaches. The paper concludes by describing company forecasting practices, offering conclusions as to both research gaps and barriers to improved practice. © 2019 International Institute of Forecasters",Comparative accuracy; Forecasting practice; Marketing analytics; New products; Product hierarchies; Retail forecasting; Social media data,Elsevier B.V.,scopus-machine learning,137,Thinking AI,"forecasting, retail demand, promotional information, comparative forecasting accuracy, market analysis","The abstract discusses the forecasting of retail demand, which involves understanding market dynamics and the factors affecting sales. It emphasizes the strategic and operational decisions retailers make based on sales forecasts. Additionally, the evaluation of forecasting methods points towards market analysis and targeting strategies, particularly in assessing promotional impacts. This aligns closely with the Thinking AI category which focuses on market analysis and targeting.",0%,0%,100%,0%,0%,"[2021, 2023)",Marketing analytics,"Este artigo revisa a literatura de pesquisa sobre previsão de demanda no varejo. Começamos apresentando os problemas de previsão que os varejistas enfrentam, desde os estratégicos até os operacionais, à medida que as vendas são agregadas por produtos, lojas e pela empresa como um todo. A previsão agregada apoia decisões estratégicas sobre localização. As previsões em nível de produto geralmente se relacionam a decisões operacionais no nível da loja. Os fatores que influenciam a demanda, em particular as informações promocionais, adicionam considerável complexidade, de modo que os previsores enfrentam potencialmente o problema da dimensionalidade, com muitas variáveis e poucos dados. O artigo avalia evidências sobre a precisão comparativa das previsões. Embora modelos causais superem benchmarks simples, evidências adequadas sobre métodos de aprendizado de máquina ainda não foram acumuladas. Métodos para prever novos produtos são examinados separadamente, com poucas evidências sobre a eficácia das várias abordagens. O artigo conclui descrevendo as práticas de previsão das empresas, oferecendo conclusões sobre lacunas de pesquisa e barreiras para a melhoria das práticas. © 2019 International Institute of Forecasters"
Machine learning and artificial intelligence use in marketing: a general taxonomy,De Mauro A.; Sestino A.; Bacconi A.,2022,10.1007/s43039-022-00057-w,"The emergence of consumer-generated data and the growing availability of Machine Learning (ML) techniques are revolutionizing marketing practices. Marketers and researchers are far from having a thorough understanding of the broad range of opportunities ML applications offer in creating and maintaining a competitive business advantage. In this paper, we propose a taxonomy of ML use cases in marketing based on a systematic review of academic and business literature. We have identified 11 recurring use cases, organized in 4 homogeneous families which correspond to the fundamentals leverage areas of ML in marketing, namely: shopper fundamentals, consumption experience, decision making, and financial impact. We discuss the recurring patterns identified in the taxonomy and provide a conceptual framework for its interpretation and extension, highlighting practical implications for marketers and researchers. © The Author(s) 2022.",Analytics; Artificial intelligence; Big Data; Machine learning; Marketing; Marketing analytics,Springer International Publishing,scopus-artificial intelligence,37,Thinking AI,"Machine Learning, taxonomy, use cases, market advantage, decision making, financial impact","The abstract discusses the use of Machine Learning (ML) in marketing, focusing on various applications that enhance decision making, analysis of consumption experiences, and financial impacts. The identification of use cases and their organization into families aligns with strategic analysis in marketing, which corresponds to the Thinking AI category.",0%,0%,100%,0%,0%,"[2021, 2023)",Marketing analytics,"A emergência de dados gerados por consumidores e a crescente disponibilidade de técnicas de Aprendizado de Máquina (ML) estão revolucionando as práticas de marketing. Os profissionais de marketing e pesquisadores ainda não compreendem completamente a ampla gama de oportunidades que as aplicações de ML oferecem para criar e manter uma vantagem competitiva nos negócios. Neste artigo, propomos uma taxonomia de casos de uso de ML em marketing com base em uma revisão sistemática da literatura acadêmica e empresarial. Identificamos 11 casos de uso recorrentes, organizados em 4 famílias homogêneas que correspondem às áreas fundamentais de alavancagem de ML em marketing: fundamentos do comprador, experiência de consumo, tomada de decisão e impacto financeiro. Discutimos os padrões recorrentes identificados na taxonomia e fornecemos um framework conceitual para sua interpretação e extensão, destacando implicações práticas para profissionais de marketing e pesquisadores."
"Benefits, challenges and future developments in digital analytics in German-speaking countries: An empirical analysis",Zumstein D.; Brauer C.; Zelic A.,2022,10.69554/uvcf5193,"This paper presents the results of a survey, conducted in 2020, to gauge the current standing of digital analytics in Germany, Switzerland and Austria. The findings highlight the increasing maturity level, benefits, challenges and future developments in the field. The research confirms that digital analytics supports the analysis and optimisation of digital marketing campaigns, user experience, search engine marketing and data-driven decisions. For many of the companies analysed, the most important challenges were reported to be data quality, lack of skills and data culture; however, maturity level, capabilities, agility and professionalism in digital analytics are steadily increasing, and artificial intelligence is enjoying many new and different applications within the fields of sales and marketing. These findings suggest that companies in German-speaking countries should focus on improving data quality and data culture. © Henry Stewart Publications 2054-7544 (2022).",Artificial intelligence; Big Data; Business analytics; Digital analytics; Marketing analytics; Maturity level; Web analytics,Henry Stewart Publications,scopus-artificial intelligence,7,Thinking AI,"digital analytics, data-driven decisions, market analysis, optimization, challenges, future developments, customer preferences","The abstract discusses digital analytics in the context of supporting the analysis and optimization of digital marketing campaigns and data-driven decisions. It emphasizes market analysis, the identification of challenges, and the increasing maturity of companies in utilizing analytics. This aligns well with the 'Thinking AI' category, which focuses on market analysis and targeting.",0%,0%,80%,0%,20%,"[2021, 2023)",Marketing analytics,"Este artigo apresenta os resultados de uma pesquisa realizada em 2020 para avaliar a situação atual da análise digital na Alemanha, Suíça e Áustria. Os achados destacam o aumento do nível de maturidade, benefícios, desafios e desenvolvimentos futuros na área. A pesquisa confirma que a análise digital apoia a análise e otimização de campanhas de marketing digital, experiência do usuário, marketing em motores de busca e decisões baseadas em dados. Para muitas das empresas analisadas, os principais desafios relatados foram a qualidade dos dados, a falta de habilidades e a cultura de dados; no entanto, o nível de maturidade, capacidades, agilidade e profissionalismo na análise digital estão aumentando constantemente, e a inteligência artificial está desfrutando de muitas novas e diferentes aplicações nos campos de vendas e marketing. Esses achados sugerem que as empresas nos países de língua alemã devem se concentrar em melhorar a qualidade dos dados e a cultura de dados."
Eye tracking technology to audit google analytics: Analysing digital consumer shopping journey in fashion m-retail,Tupikovskaja-Omovie Z.; Tyler D.,2021,10.1016/j.ijinfomgt.2020.102294,"Rapid changes in digital consumer behaviour, influenced by exponential adoption of smartphones, require timely and sophisticated responses from retailers to these consumer needs. With a growing amount of big data available, fashion retailers need to innovate and develop more sophisticated analytics for new consumer behaviours such as m-commerce. This research has considered how Google Analytics data can be applied to develop customer journey maps to understand digital consumer behaviour. A multi-method research design was used, incorporating an innovative mobile eye tracking technology and mobile fashion consumer data from Google Analytics. Digital customers’ shopping journeys on the fashion retailer's website were mapped using data sourced from eye tracking and Google Analytics, gathered in parallel. The comparison of these shopping journeys allowed a critical evaluation of the precision and usefulness of the Google Analytics database. Google Analytics tracked only half of the digital users’ activities, whereas eye tracking data documented digital consumers’ interaction with all elements of the fashion retailer's website. The conclusion reached is that eye tracking can be used to audit the Google Analytics database for potential gaps in data and also to inform and improve marketing decision-making. © 2020 Elsevier Ltd",Consumer shopping journey; Digital consumer; Eye tracking; Fashion m-retail; Fashion retail; Google analytics; Marketing analytics,Elsevier Ltd,scopus-big data,28,Thinking AI,"digital consumer behaviour, Google Analytics, customer journey maps, market analysis, data gaps, marketing decision-making","The abstract discusses the application of Google Analytics and eye-tracking technology to analyze and map digital consumer behaviors within the fashion retail sector. This aligns with the Thinking AI category, which focuses on market analysis and using marketing analytics to identify consumer needs and optimize decision-making processes. The research aims to improve understanding of customer journeys and inform marketing strategies based on data analysis.",0%,20%,80%,0%,0%,"[2021, 2023)",Marketing analytics,"Mudanças rápidas no comportamento do consumidor digital, impulsionadas pela adoção exponencial de smartphones, exigem respostas ágeis e sofisticadas dos varejistas. Com o aumento da disponibilidade de big data, os varejistas de moda precisam inovar e desenvolver análises mais sofisticadas para novos comportamentos de consumo, como o m-commerce. Esta pesquisa considerou como os dados do Google Analytics podem ser aplicados para desenvolver mapas da jornada do cliente e entender o comportamento do consumidor digital. Um design de pesquisa multimétodo foi utilizado, incorporando uma tecnologia inovadora de rastreamento ocular móvel e dados de consumidores de moda móveis do Google Analytics. As jornadas de compras dos clientes digitais no site do varejista de moda foram mapeadas usando dados obtidos do rastreamento ocular e do Google Analytics, coletados em paralelo. A comparação dessas jornadas de compras permitiu uma avaliação crítica da precisão e utilidade do banco de dados do Google Analytics. O Google Analytics rastreou apenas metade das atividades dos usuários digitais, enquanto os dados de rastreamento ocular documentaram a interação dos consumidores digitais com todos os elementos do site do varejista de moda. A conclusão é que o rastreamento ocular pode ser usado para auditar o banco de dados do Google Analytics em busca de possíveis lacunas nos dados e também para informar e melhorar a tomada de decisões de marketing."
Marketing analytics for data-rich environments,Wedel M.; Kannan P.K.,2016,10.1509/jm.15.0413,"The authors provide a critical examination of marketing analytics methods by tracing their historical development, examining their applications to structured and unstructured data generated within or external to a firm, and reviewing their potential to support marketing decisions. The authors identify directions for new analytical research methods, addressing (1) analytics for optimizingmarketing-mix spending in a data-rich environment, (2) analytics for personalization, and (3) analytics in the context of customers' privacy and data security. They review the implications for organizations that intend to implement big data analytics. Finally, turning to the future, the authors identify trends that will shape marketing analytics as a discipline as well as marketing analytics education. © 2016, American Marketing Association.",Big data; Marketing analytics; Marketing mix; Personalization; Privacy,American Marketing Association,scopus-big data,646,Thinking AI,"marketing analytics, data-rich environment, optimizing marketing-mix, personalization, customer privacy, data security","The abstract discusses marketing analytics methods, focusing on their historical development and applications to structured and unstructured data. It emphasizes the potential of analytics to support marketing decisions, especially in optimizing marketing-mix spending and personalization. These themes align closely with the 'Thinking AI' category, which focuses on market analysis, targeting, and personalization strategies based on customer data.",10%,20%,70%,0%,0%,"[2015, 2017)",Marketing analytics,"Os autores realizam uma análise crítica dos métodos de análise de marketing, traçando seu desenvolvimento histórico, examinando suas aplicações a dados estruturados e não estruturados gerados dentro ou fora de uma empresa e revisando seu potencial para apoiar decisões de marketing. Eles identificam direções para novos métodos de pesquisa analítica, abordando (1) análises para otimizar gastos com marketing em um ambiente rico em dados, (2) análises para personalização e (3) análises no contexto da privacidade dos clientes e segurança dos dados. Revisam as implicações para organizações que pretendem implementar análises de big data. Por fim, ao olhar para o futuro, os autores identificam tendências que moldarão a análise de marketing como disciplina, bem como a educação em análise de marketing. © 2016, American Marketing Association."
Big Data and consumer behavior: imminent opportunities,Hofacker C.F.; Malthouse E.C.; Sultan F.,2016,10.1108/JCM-04-2015-1399,"Purpose – The purpose of this paper is to assess how the study of consumer behavior can benefit from the presence of Big Data. Design/methodology/approach – This paper offers a conceptual overview of potential opportunities and changes to the study of consumer behavior that Big Data will likely bring. Findings – Big Data have the potential to further our understanding of each stage in the consumer decision-making process. While the field has traditionally moved forward using a priori theory followed by experimentation, it now seems that the nature of the feedback loop between theory and results may shift under the weight of Big Data. Research limitations/implications – A new data culture is now represented in marketing practice. The new group advocates inductive data mining and A/B testing rather than human intuition harnessed for deduction. The group brings with it interest in numerous secondary data sources. However, Big Data may be limited by poor quality, unrepresentativeness and volatility, among other problems. Practical implications – Managers who need to understand consumer behavior will need a workforce with different skill sets than in the past, such as Big Data consumer analytics. Originality/value – To the authors' knowledge, this is one of the first articles to assess how the study of consumer behavior can evolve in the context of the Big Data revolution. © 2016, © Emerald Group Publishing Limited.",Big Data; Consumer behavior; Marketing analytics,Emerald Group Publishing Ltd.,scopus-big data,154,Thinking AI,"consumer behavior, Big Data, decision-making process, data culture, A/B testing, data mining","The abstract discusses how Big Data can enhance the understanding of consumer behavior and the consumer decision-making process. This aligns with the Thinking AI category, which focuses on market analysis and targeting, as it emphasizes the shift from traditional a priori theory to data-driven insights. The mention of a new data culture advocating for analytics and testing further supports this classification.",0%,0%,100%,0%,0%,"[2015, 2017)",Marketing analytics,"O objetivo deste artigo é avaliar como o estudo do comportamento do consumidor pode se beneficiar da presença do Big Data. O artigo oferece uma visão conceitual das oportunidades e mudanças que o Big Data provavelmente trará para o estudo do comportamento do consumidor. Os resultados indicam que o Big Data tem o potencial de aprofundar nossa compreensão de cada etapa do processo de tomada de decisão do consumidor. Enquanto o campo tradicionalmente avançou utilizando teoria a priori seguida de experimentação, parece que a natureza do ciclo de feedback entre teoria e resultados pode mudar sob a influência do Big Data. Uma nova cultura de dados agora se representa na prática de marketing, com um novo grupo que defende a mineração de dados indutiva e testes A/B em vez da intuição humana para dedução, trazendo interesse em várias fontes de dados secundários. No entanto, o Big Data pode ser limitado por problemas como baixa qualidade, falta de representatividade e volatilidade. Os gerentes que precisam entender o comportamento do consumidor precisarão de uma força de trabalho com habilidades diferentes das do passado, como análises de consumidores baseadas em Big Data. Até onde os autores sabem, este é um dos primeiros artigos a avaliar como o estudo do comportamento do consumidor pode evoluir no contexto da revolução do Big Data."
