Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified,Year_Group,Topic
Teaching marketing analytics: a pricing case study for quantitative and substantive marketing skills,Skiera B.; Jürgensmeier L.,2024,10.1057/s41270-024-00313-2,"This article describes a data-driven case study for teaching and assessing students’ skills in marketing analytics, specifically in pricing. This case study combines teaching econometrics to analyze data and substantive marketing to derive managerial insights. The econometric challenge requires students to set up and implement a regression analysis to derive the demand function, detect multicollinearity, and select appropriate data visualizations. The substantive challenge requires deriving optimal pricing decisions and understanding how the parameters of the demand function impact optimal prices and the associated profit. We test the case study in a marketing analytics exam and discuss the performance of 134 students. Beyond assessing student performance in an exam, the case study facilitates teaching through in-class group work or assignments. Free of charge, under a liberal CC BY license, we encourage other educators to use the case study in their teaching. We provide the necessary data and a sample solution using the statistical programming language R. © The Author(s) 2024.",Case study; Data science; Education; Marketing analytics; Pricing; Teaching,Palgrave Macmillan,scopus-data science,1,Thinking AI,"['marketing analytics', 'pricing', 'regression analysis', 'demand function', 'optimal pricing', 'managerial insights']","The abstract focuses on a case study that teaches and assesses students' skills in marketing analytics, particularly in pricing strategies and econometrics. The emphasis on analyzing data to derive managerial insights and making optimal pricing decisions aligns closely with the 'Market analysis' and 'Targeting' aspects of Thinking AI. The use of regression analysis and demand functions suggests a strategic analytical approach rather than automation or emotional understanding.",0%,0%,100%,0%,0%,"[2023, 2025)",Marketing analytics
"Benefits, challenges and future developments in digital analytics in German-speaking countries: An empirical analysis",Zumstein D.; Brauer C.; Zelic A.,2022,10.69554/uvcf5193,"This paper presents the results of a survey, conducted in 2020, to gauge the current standing of digital analytics in Germany, Switzerland and Austria. The findings highlight the increasing maturity level, benefits, challenges and future developments in the field. The research confirms that digital analytics supports the analysis and optimisation of digital marketing campaigns, user experience, search engine marketing and data-driven decisions. For many of the companies analysed, the most important challenges were reported to be data quality, lack of skills and data culture; however, maturity level, capabilities, agility and professionalism in digital analytics are steadily increasing, and artificial intelligence is enjoying many new and different applications within the fields of sales and marketing. These findings suggest that companies in German-speaking countries should focus on improving data quality and data culture. © Henry Stewart Publications 2054-7544 (2022).",Artificial intelligence; Big Data; Business analytics; Digital analytics; Marketing analytics; Maturity level; Web analytics,Henry Stewart Publications,scopus-artificial intelligence,7,Thinking AI,"['digital analytics', 'data-driven decisions', 'market analysis', 'optimization', 'challenges', 'future developments', 'customer preferences']","The abstract discusses digital analytics in the context of supporting the analysis and optimization of digital marketing campaigns and data-driven decisions. It emphasizes market analysis, the identification of challenges, and the increasing maturity of companies in utilizing analytics. This aligns well with the 'Thinking AI' category, which focuses on market analysis and targeting.",0%,0%,80%,0%,20%,"[2021, 2023)",Marketing analytics
"Marketing analytics capability, artificial intelligence adoption, and firms? competitive advantage: Evidence from the manufacturing industry","Hossain, MA; Agnihotri, R; Rushan, MRI; Rahman, MS; Sumi, SF",2022,10.1016/j.indmarman.2022.08.017,"Data-driven analytics and artificial intelligence (AI) have become the most crucial aspects of today's industrial marketing management. Although many firms have embraced analytics and AI strategies, corresponding academic advances have been slow. This research investigates how industrial goods manufacturers sustain their competitive advantage in export markets, convincing buyers in a competitive data-rich business environment. The evidence has been taken from the RMG (readymade garment) industry, one of the largest manufacturing industries significantly attached to the export markets. Utilizing multi-phase research design, the study reveals that firms marketing analytics capability play a vital role in sensing, seizing, and reconfiguring the market, consequently leading to a sustained competitive advantage. The performance of sensing, seizing, and reconfiguring becomes higher for a firm when they adopt AI on the strength of the marketing analytics platform. These findings exhibit the latest avenue of exploration within marketing analytics and AI's academic research paradigm. Further, in practice, managers will be aware of the facts that create resilience in this specific industry context.",Marketing analytics capability; AI adoption; Market sensing; Market seizing; Market reconfiguration; Manufacturing industry; B2B export market,ELSEVIER SCIENCE INC,wos-ai,42,Thinking AI,"['marketing analytics', 'competitive advantage', 'data-rich business environment', 'sensing', 'seizing', 'reconfiguring']","The abstract discusses the role of marketing analytics and AI in sustaining competitive advantage, particularly in the context of the RMG industry. It emphasizes the importance of analyzing market conditions and leveraging data to enhance performance, which aligns closely with the definition of Thinking AI focused on market analysis and identifying competitive advantages.",0%,0%,100%,0%,0%,"[2021, 2023)",Marketing analytics
Retail forecasting: Research and practice,Fildes R.; Ma S.; Kolassa S.,2022,10.1016/j.ijforecast.2019.06.004,"This paper reviews the research literature on forecasting retail demand. We begin by introducing the forecasting problems that retailers face, from the strategic to the operational, as sales are aggregated over products to stores and to the company overall. Aggregated forecasting supports strategic decisions on location. Product-level forecasts usually relate to operational decisions at the store level. The factors that influence demand, and in particular promotional information, add considerable complexity, so that forecasters potentially face the dimensionality problem of too many variables and too little data. The paper goes on to evaluate evidence on comparative forecasting accuracy. Although causal models outperform simple benchmarks, adequate evidence on machine learning methods has not yet accumulated. Methods for forecasting new products are examined separately, with little evidence being found on the effectiveness of the various approaches. The paper concludes by describing company forecasting practices, offering conclusions as to both research gaps and barriers to improved practice. © 2019 International Institute of Forecasters",Comparative accuracy; Forecasting practice; Marketing analytics; New products; Product hierarchies; Retail forecasting; Social media data,Elsevier B.V.,scopus-machine learning,137,Thinking AI,"['forecasting', 'retail demand', 'promotional information', 'comparative forecasting accuracy', 'market analysis']","The abstract discusses the forecasting of retail demand, which involves understanding market dynamics and the factors affecting sales. It emphasizes the strategic and operational decisions retailers make based on sales forecasts. Additionally, the evaluation of forecasting methods points towards market analysis and targeting strategies, particularly in assessing promotional impacts. This aligns closely with the Thinking AI category which focuses on market analysis and targeting.",0%,0%,100%,0%,0%,"[2021, 2023)",Marketing analytics
Machine learning and artificial intelligence use in marketing: a general taxonomy,De Mauro A.; Sestino A.; Bacconi A.,2022,10.1007/s43039-022-00057-w,"The emergence of consumer-generated data and the growing availability of Machine Learning (ML) techniques are revolutionizing marketing practices. Marketers and researchers are far from having a thorough understanding of the broad range of opportunities ML applications offer in creating and maintaining a competitive business advantage. In this paper, we propose a taxonomy of ML use cases in marketing based on a systematic review of academic and business literature. We have identified 11 recurring use cases, organized in 4 homogeneous families which correspond to the fundamentals leverage areas of ML in marketing, namely: shopper fundamentals, consumption experience, decision making, and financial impact. We discuss the recurring patterns identified in the taxonomy and provide a conceptual framework for its interpretation and extension, highlighting practical implications for marketers and researchers. © The Author(s) 2022.",Analytics; Artificial intelligence; Big Data; Machine learning; Marketing; Marketing analytics,Springer International Publishing,scopus-artificial intelligence,37,Thinking AI,"['Machine Learning', 'taxonomy', 'use cases', 'market advantage', 'decision making', 'financial impact']","The abstract discusses the use of Machine Learning (ML) in marketing, focusing on various applications that enhance decision making, analysis of consumption experiences, and financial impacts. The identification of use cases and their organization into families aligns with strategic analysis in marketing, which corresponds to the Thinking AI category.",0%,0%,100%,0%,0%,"[2021, 2023)",Marketing analytics
Does marketing analytics capability boost firms' competitive marketing performance in data-rich business environment?,Rahman M.S.; Hossain M.A.; Abdel Fattah F.A.M.,2022,10.1108/JEIM-05-2020-0185,"Purpose: Few well-documented studies have explained the importance of researching firms' marketing analytics capability (FMAC). In spite of its significance, there is scant attention to conceptualising and empirically investigating FMAC and its consequences in a data-driven business context. Thus, this study aims to develop and test a conceptual model that relates FMAC and its repercussions in the data-rich business environment. Design/methodology/approach: This study analysed the data from 250 managers amongst large and medium-sized manufacturing and service-intensive firms. Furthermore, this research performed an empirical study by using operationalised questionnaire survey method to verify the hypotheses and reach its theoretical and managerial implications. Structural equation modelling with maximum-likelihood estimation method was applied to verify the validity of the proposed research model. Findings: Multivariate analysis results show that FMAC significantly influences firms' competitive marketing performance (FCMP) with the presence of holistic marketing decision-making (HMDM) as a mediator. Moreover, adoption of artificial intelligence (AAI) enhances the relationship of FMAC-HMDM and FMAC-FCMP linkages. Practical implications: This study analyses how FMAC can enhance FCMP and contributes to resource-based views and technological capability theories. From a managerial perspective, guidelines are provided for marketers to adopt advance technologies, such as AI, to optimise FMAC and HMDM to achieve competitive marketing performance. Originality/value: Believing that “how to be competitive in marketing performance under data-rich-environment”, this research is the first to use the data of a firm manager to facilitate the understanding of FMAC, which provides a new direction for improving marketing performance. In addition, HMDM and AAI are also proposed for firms to optimise FCMP. © 2021, Emerald Publishing Limited.",Artificial intelligence; Competitive marketing performance; Holistic marketing decision; Marketing analytics capability,Emerald Group Holdings Ltd.,scopus-ai,36,Thinking AI,"['marketing analytics capability', 'competitive marketing performance', 'holistic marketing decision-making', 'adoption of artificial intelligence', 'empirical study']","The abstract discusses the relationship between firms' marketing analytics capability (FMAC) and their competitive marketing performance (FCMP), emphasizing the importance of market analysis and decision-making in a data-driven environment. The mention of using artificial intelligence to enhance these relationships further aligns with the strategic analysis focus of Thinking AI.",0%,0%,100%,0%,0%,"[2021, 2023)",Marketing analytics
Eye tracking technology to audit google analytics: Analysing digital consumer shopping journey in fashion m-retail,Tupikovskaja-Omovie Z.; Tyler D.,2021,10.1016/j.ijinfomgt.2020.102294,"Rapid changes in digital consumer behaviour, influenced by exponential adoption of smartphones, require timely and sophisticated responses from retailers to these consumer needs. With a growing amount of big data available, fashion retailers need to innovate and develop more sophisticated analytics for new consumer behaviours such as m-commerce. This research has considered how Google Analytics data can be applied to develop customer journey maps to understand digital consumer behaviour. A multi-method research design was used, incorporating an innovative mobile eye tracking technology and mobile fashion consumer data from Google Analytics. Digital customers’ shopping journeys on the fashion retailer's website were mapped using data sourced from eye tracking and Google Analytics, gathered in parallel. The comparison of these shopping journeys allowed a critical evaluation of the precision and usefulness of the Google Analytics database. Google Analytics tracked only half of the digital users’ activities, whereas eye tracking data documented digital consumers’ interaction with all elements of the fashion retailer's website. The conclusion reached is that eye tracking can be used to audit the Google Analytics database for potential gaps in data and also to inform and improve marketing decision-making. © 2020 Elsevier Ltd",Consumer shopping journey; Digital consumer; Eye tracking; Fashion m-retail; Fashion retail; Google analytics; Marketing analytics,Elsevier Ltd,scopus-big data,28,Thinking AI,"['digital consumer behaviour', 'Google Analytics', 'customer journey maps', 'market analysis', 'data gaps', 'marketing decision-making']","The abstract discusses the application of Google Analytics and eye-tracking technology to analyze and map digital consumer behaviors within the fashion retail sector. This aligns with the Thinking AI category, which focuses on market analysis and using marketing analytics to identify consumer needs and optimize decision-making processes. The research aims to improve understanding of customer journeys and inform marketing strategies based on data analysis.",0%,20%,80%,0%,0%,"[2021, 2023)",Marketing analytics
Data-driven marketing for growth and profitability,Grandhi B.; Patwa N.; Saleem K.,2021,10.1108/EMJB-09-2018-0054,"Purpose: In the current business environment, more uncertain than ever before, understanding consumer behavior is an integral part of an organization's strategic planning and execution process. It is the key driver for becoming a market leader. Therefore, it is important that all processes in business are customer centric. Marketers need to harness big data by engaging in data driven-marketing (DDM) to help organizations choose the “right” customers, to “keep” and “grow” them and to sustain “growth” and “profitability”. This research examines DDM adoption practices and how companies can aim to enhance shareholder value by bringing about “customer centricity”. Design/methodology/approach: An online survey conducted in 2016 received 180 responses from junior, middle and senior executives. Of the total responses, 26% were from senior management, 39% from middle management and the remaining 35% from junior management. Industries represented in the survey included retail, BFSI, healthcare and government, automobile, telecommunication, transport and logistics and IT. Other industries represented were aviation, marketing research and consulting, hospitality, advertising and media and human resource. Findings: Success of DDM depends upon how well an organization embraces the practice. The first and foremost indicator of an organization's commitment is the extent of resources invested for DDM. Respondents were divided into four categories; Laggards, Dabblers, Contenders and Leaders based on their “current level of investments” and “willingness to enhance investments” soon. Research limitations/implications: With storming digital age and the development of analytics, the process of decision-making has gained significant importance. Judgment and intuition too are critical to the process. Choosing an appropriate action cannot be done strictly on a rational basis. Practical implications: The results of the study offer interesting implications for managing the growing sea of data. An iterative and incremental approach is the need of the hour, even if it has to start with baby steps, to invest in and reap the fruits of DDM. The intention to use any system is always dependent on two primary belief factors: perceived usefulness and perceived ease of use; however, attitudes and social factors are equally important. Originality/value: There is a dearth of knowledge with regards to who is and is not adopting DDM, and how best big data can be harnessed for enhancing effectiveness and efficiency of marketing budget. It is, therefore, imperative to build a knowledge base on DDM practices, challenges and opportunities. Better use of data can help companies enhance shareholder value by bringing about “customer centricity”. © 2020, Emerald Publishing Limited.",Customer centric; Data-driven marketing; Digital data; Digital marketing and marketing investment; Marketing analytics; Marketing dashboard; Marketing metrics; ROMI (return on marketing investment) and diffusion of innovation; Value proposition,Emerald Group Holdings Ltd.,scopus-big data,50,Thinking AI,"['consumer behavior', 'data driven-marketing', 'customer centricity', 'big data', 'market leader', 'shareholder value', 'strategic planning', 'investment', 'analytics']","The abstract discusses the importance of understanding consumer behavior and the strategic implementation of data-driven marketing (DDM) to enhance shareholder value and customer centricity. It emphasizes market analysis, decision-making processes, and the investment in resources for DDM, which aligns well with the focus of Thinking AI on market analysis, targeting, and the use of analytics for competitive advantages.",10%,20%,70%,0%,0%,"[2021, 2023)",Marketing analytics
Marketing analytics for data-rich environments,Wedel M.; Kannan P.K.,2016,10.1509/jm.15.0413,"The authors provide a critical examination of marketing analytics methods by tracing their historical development, examining their applications to structured and unstructured data generated within or external to a firm, and reviewing their potential to support marketing decisions. The authors identify directions for new analytical research methods, addressing (1) analytics for optimizingmarketing-mix spending in a data-rich environment, (2) analytics for personalization, and (3) analytics in the context of customers' privacy and data security. They review the implications for organizations that intend to implement big data analytics. Finally, turning to the future, the authors identify trends that will shape marketing analytics as a discipline as well as marketing analytics education. © 2016, American Marketing Association.",Big data; Marketing analytics; Marketing mix; Personalization; Privacy,American Marketing Association,scopus-big data,646,Thinking AI,"['marketing analytics', 'data-rich environment', 'optimizing marketing-mix', 'personalization', 'customer privacy', 'data security']","The abstract discusses marketing analytics methods, focusing on their historical development and applications to structured and unstructured data. It emphasizes the potential of analytics to support marketing decisions, especially in optimizing marketing-mix spending and personalization. These themes align closely with the 'Thinking AI' category, which focuses on market analysis, targeting, and personalization strategies based on customer data.",10%,20%,70%,0%,0%,"[2015, 2017)",Marketing analytics
Big Data and consumer behavior: imminent opportunities,Hofacker C.F.; Malthouse E.C.; Sultan F.,2016,10.1108/JCM-04-2015-1399,"Purpose – The purpose of this paper is to assess how the study of consumer behavior can benefit from the presence of Big Data. Design/methodology/approach – This paper offers a conceptual overview of potential opportunities and changes to the study of consumer behavior that Big Data will likely bring. Findings – Big Data have the potential to further our understanding of each stage in the consumer decision-making process. While the field has traditionally moved forward using a priori theory followed by experimentation, it now seems that the nature of the feedback loop between theory and results may shift under the weight of Big Data. Research limitations/implications – A new data culture is now represented in marketing practice. The new group advocates inductive data mining and A/B testing rather than human intuition harnessed for deduction. The group brings with it interest in numerous secondary data sources. However, Big Data may be limited by poor quality, unrepresentativeness and volatility, among other problems. Practical implications – Managers who need to understand consumer behavior will need a workforce with different skill sets than in the past, such as Big Data consumer analytics. Originality/value – To the authors' knowledge, this is one of the first articles to assess how the study of consumer behavior can evolve in the context of the Big Data revolution. © 2016, © Emerald Group Publishing Limited.",Big Data; Consumer behavior; Marketing analytics,Emerald Group Publishing Ltd.,scopus-big data,154,Thinking AI,"['consumer behavior', 'Big Data', 'decision-making process', 'data culture', 'A/B testing', 'data mining']","The abstract discusses how Big Data can enhance the understanding of consumer behavior and the consumer decision-making process. This aligns with the Thinking AI category, which focuses on market analysis and targeting, as it emphasizes the shift from traditional a priori theory to data-driven insights. The mention of a new data culture advocating for analytics and testing further supports this classification.",0%,0%,100%,0%,0%,"[2015, 2017)",Marketing analytics
Retail forecasting: Research and practice,Fildes R.; Ma S.; Kolassa S.,2022,10.1016/j.ijforecast.2019.06.004,"This paper reviews the research literature on forecasting retail demand. We begin by introducing the forecasting problems that retailers face, from the strategic to the operational, as sales are aggregated over products to stores and to the company overall. Aggregated forecasting supports strategic decisions on location. Product-level forecasts usually relate to operational decisions at the store level. The factors that influence demand, and in particular promotional information, add considerable complexity, so that forecasters potentially face the dimensionality problem of too many variables and too little data. The paper goes on to evaluate evidence on comparative forecasting accuracy. Although causal models outperform simple benchmarks, adequate evidence on machine learning methods has not yet accumulated. Methods for forecasting new products are examined separately, with little evidence being found on the effectiveness of the various approaches. The paper concludes by describing company forecasting practices, offering conclusions as to both research gaps and barriers to improved practice. © 2019 International Institute of Forecasters",Comparative accuracy; Forecasting practice; Marketing analytics; New products; Product hierarchies; Retail forecasting; Social media data,Elsevier B.V.,scopus-machine learning,137,Thinking AI,"['forecasting', 'retail demand', 'promotional information', 'comparative forecasting accuracy', 'market analysis']","The abstract discusses the forecasting of retail demand, which involves understanding market dynamics and the factors affecting sales. It emphasizes the strategic and operational decisions retailers make based on sales forecasts. Additionally, the evaluation of forecasting methods points towards market analysis and targeting strategies, particularly in assessing promotional impacts. This aligns closely with the Thinking AI category which focuses on market analysis and targeting.",0%,0%,100%,0%,0%,"[2021, 2023)",Marketing analytics
Fostering B2B sales with customer big data analytics,"Hallikainen, H; Savimäki, E; Laukkanen, T",2020,10.1016/j.indmarman.2019.12.005,"This study focuses on the use of big data analytics in managing B2B customer relationships and examines the effects of big data analytics on customer relationship performance and sales growth using a multi-industry dataset from 417 B2B firms. The study also examines whether analytics culture within a firm moderates these effects. The study finds that the use of customer big data significantly fosters sales growth (i.e. monetary performance outcomes) and enhances the customer relationship performance (non-monetary performance outcomes). However, the latter effect is stronger for firms which have an analytics culture which supports marketing analytics, whereas the former effect remains unchanged regardless of the analytics culture. The study empirically confirms that customer big data analytics improves customer relationship performance and sales growth in B2B firms.",Big data analytics; Customer analytics; Marketing analytics; Firm performance; Customer relationship management; Big data-enhanced database marketing,ELSEVIER SCIENCE INC,wos-big data,105,Thinking AI,"['big data analytics', 'customer relationship performance', 'sales growth', 'analytics culture', 'monetary performance', 'non-monetary performance']","The abstract discusses the impact of big data analytics on customer relationship performance and sales growth, specifically in the context of B2B firms. This aligns closely with the Thinking AI category, which focuses on market analysis and strategic insights derived from analytics. The study emphasizes the role of analytics culture in moderating these effects, suggesting a strategic approach to leveraging data for competitive advantage, which is characteristic of the Thinking AI category. The mention of sales growth and performance outcomes further reinforces this classification.",0%,0%,100%,0%,0%,"[2019, 2021)",Marketing analytics
A dynamic capability view of marketing analytics: Evidence from UK firms,Cao G.; Duan Y.; El Banna A.,2019,10.1016/j.indmarman.2018.08.002,"While marketing analytics plays an important role in generating insights from big data to improve marketing decision-making and firm competitiveness, few academic studies have investigated the mechanisms through which it can be used to achieve sustained competitive advantage. To close this gap, this study draws on the dynamic capability view to posit that a firm can attain sustained competitive advantage from its sensing, seizing and reconfiguring capabilities, which are manifested by the use of marketing analytics, marketing decision-making, and product development management. This study also examines the impact of the antecedents of marketing analytics use on marketing related processes. The analysis of a survey of 221 UK firm managers demonstrates: (a) the positive impact of marketing analytics use on both marketing decision-making and product development management; (b) the effect of the latter two on sustained competitive advantage; (c) the indirect effect of data availability on both marketing decision-making and production development management; and (d) the indirect effect of managerial support on marketing decision-making. The research model proposed in this study provides insights into how marketing analytics can be used to achieve sustained competitive advantage. © 2018 Elsevier Inc.",Dynamic capability view; Marketing analytics; Marketing decision-making; Product development management; Sustained competitive advantage,Elsevier Inc.,scopus-big data,91,Thinking AI,"['marketing analytics', 'decision-making', 'competitive advantage', 'sensing capabilities', 'data availability', 'product development management', 'managerial support']","The abstract discusses the use of marketing analytics in enhancing marketing decision-making, product development management, and ultimately achieving sustained competitive advantage. This aligns closely with the focus of Thinking AI on market analysis and competitive advantages. The findings indicate the positive impact of marketing analytics on strategic processes, which is characteristic of Thinking AI applications.",0%,0%,100%,0%,0%,"[2019, 2021)",Marketing analytics
Role of big data in decision making,Jeble S.; Kumari S.; Patil Y.,2018,10.31387/oscm0300198,"Information systems coupled with internet, cloud computing, mobile devices and Internet of Things have led to massive volumes of data, commonly referred as big data. It includes mix of structured, semi-structured and unstructured real-time data, constituting of data warehouse, OLAP, ETL and information. Business firms and academicians have designed unique ways of tapping value from big data. There is a great scope of using large datasets as an additional input for making decisions. The aim of the paper is to explore the role of big data in these areas for making better decisions. Here we explore how big data can be used to make smart and real-time decisions for improving business results. The paper undergoes literature review and secondary data to provide a conceptual overview of potential opportunities of big data in decision making. The paper discusses the concept of big data, its role in decision making and also the competitive advantage of big data for different firms. The paper also discusses a framework for managing data in decision making. The topic must be addressed for taking better decisions for firms which will contribute to high quality knowledge. © Operations and Supply Chain Management. All rights reserved.",Big data; Big data analytics; Marketing analytics; Social media analytics,Operations and Supply Chain Management Forum,scopus-big data,64,Thinking AI,"['big data', 'decision making', 'competitive advantage', 'market analysis']","The abstract emphasizes the role of big data in enhancing decision-making processes within business firms, focusing on market analysis and competitive advantages derived from data. It discusses how businesses can leverage large datasets to make smarter, real-time decisions, which aligns closely with the 'Thinking AI' category that focuses on market analysis and targeting.",0%,0%,100%,0%,0%,"[2017, 2019)",Marketing analytics
Data-driven marketing for growth and profitability,Grandhi B.; Patwa N.; Saleem K.,2021,10.1108/EMJB-09-2018-0054,"Purpose: In the current business environment, more uncertain than ever before, understanding consumer behavior is an integral part of an organization's strategic planning and execution process. It is the key driver for becoming a market leader. Therefore, it is important that all processes in business are customer centric. Marketers need to harness big data by engaging in data driven-marketing (DDM) to help organizations choose the “right” customers, to “keep” and “grow” them and to sustain “growth” and “profitability”. This research examines DDM adoption practices and how companies can aim to enhance shareholder value by bringing about “customer centricity”. Design/methodology/approach: An online survey conducted in 2016 received 180 responses from junior, middle and senior executives. Of the total responses, 26% were from senior management, 39% from middle management and the remaining 35% from junior management. Industries represented in the survey included retail, BFSI, healthcare and government, automobile, telecommunication, transport and logistics and IT. Other industries represented were aviation, marketing research and consulting, hospitality, advertising and media and human resource. Findings: Success of DDM depends upon how well an organization embraces the practice. The first and foremost indicator of an organization's commitment is the extent of resources invested for DDM. Respondents were divided into four categories; Laggards, Dabblers, Contenders and Leaders based on their “current level of investments” and “willingness to enhance investments” soon. Research limitations/implications: With storming digital age and the development of analytics, the process of decision-making has gained significant importance. Judgment and intuition too are critical to the process. Choosing an appropriate action cannot be done strictly on a rational basis. Practical implications: The results of the study offer interesting implications for managing the growing sea of data. An iterative and incremental approach is the need of the hour, even if it has to start with baby steps, to invest in and reap the fruits of DDM. The intention to use any system is always dependent on two primary belief factors: perceived usefulness and perceived ease of use; however, attitudes and social factors are equally important. Originality/value: There is a dearth of knowledge with regards to who is and is not adopting DDM, and how best big data can be harnessed for enhancing effectiveness and efficiency of marketing budget. It is, therefore, imperative to build a knowledge base on DDM practices, challenges and opportunities. Better use of data can help companies enhance shareholder value by bringing about “customer centricity”. © 2020, Emerald Publishing Limited.",Customer centric; Data-driven marketing; Digital data; Digital marketing and marketing investment; Marketing analytics; Marketing dashboard; Marketing metrics; ROMI (return on marketing investment) and diffusion of innovation; Value proposition,Emerald Group Holdings Ltd.,scopus-big data,50,Thinking AI,"['consumer behavior', 'data driven-marketing', 'customer centricity', 'big data', 'market leader', 'shareholder value', 'strategic planning', 'investment', 'analytics']","The abstract discusses the importance of understanding consumer behavior and the strategic implementation of data-driven marketing (DDM) to enhance shareholder value and customer centricity. It emphasizes market analysis, decision-making processes, and the investment in resources for DDM, which aligns well with the focus of Thinking AI on market analysis, targeting, and the use of analytics for competitive advantages.",10%,20%,70%,0%,0%,"[2021, 2023)",Marketing analytics
"Marketing analytics capability, artificial intelligence adoption, and firms? competitive advantage: Evidence from the manufacturing industry","Hossain, MA; Agnihotri, R; Rushan, MRI; Rahman, MS; Sumi, SF",2022,10.1016/j.indmarman.2022.08.017,"Data-driven analytics and artificial intelligence (AI) have become the most crucial aspects of today's industrial marketing management. Although many firms have embraced analytics and AI strategies, corresponding academic advances have been slow. This research investigates how industrial goods manufacturers sustain their competitive advantage in export markets, convincing buyers in a competitive data-rich business environment. The evidence has been taken from the RMG (readymade garment) industry, one of the largest manufacturing industries significantly attached to the export markets. Utilizing multi-phase research design, the study reveals that firms marketing analytics capability play a vital role in sensing, seizing, and reconfiguring the market, consequently leading to a sustained competitive advantage. The performance of sensing, seizing, and reconfiguring becomes higher for a firm when they adopt AI on the strength of the marketing analytics platform. These findings exhibit the latest avenue of exploration within marketing analytics and AI's academic research paradigm. Further, in practice, managers will be aware of the facts that create resilience in this specific industry context.",Marketing analytics capability; AI adoption; Market sensing; Market seizing; Market reconfiguration; Manufacturing industry; B2B export market,ELSEVIER SCIENCE INC,wos-ai,42,Thinking AI,"['marketing analytics', 'competitive advantage', 'data-rich business environment', 'sensing', 'seizing', 'reconfiguring']","The abstract discusses the role of marketing analytics and AI in sustaining competitive advantage, particularly in the context of the RMG industry. It emphasizes the importance of analyzing market conditions and leveraging data to enhance performance, which aligns closely with the definition of Thinking AI focused on market analysis and identifying competitive advantages.",0%,0%,100%,0%,0%,"[2021, 2023)",Marketing analytics
Machine learning and artificial intelligence use in marketing: a general taxonomy,De Mauro A.; Sestino A.; Bacconi A.,2022,10.1007/s43039-022-00057-w,"The emergence of consumer-generated data and the growing availability of Machine Learning (ML) techniques are revolutionizing marketing practices. Marketers and researchers are far from having a thorough understanding of the broad range of opportunities ML applications offer in creating and maintaining a competitive business advantage. In this paper, we propose a taxonomy of ML use cases in marketing based on a systematic review of academic and business literature. We have identified 11 recurring use cases, organized in 4 homogeneous families which correspond to the fundamentals leverage areas of ML in marketing, namely: shopper fundamentals, consumption experience, decision making, and financial impact. We discuss the recurring patterns identified in the taxonomy and provide a conceptual framework for its interpretation and extension, highlighting practical implications for marketers and researchers. © The Author(s) 2022.",Analytics; Artificial intelligence; Big Data; Machine learning; Marketing; Marketing analytics,Springer International Publishing,scopus-artificial intelligence,37,Thinking AI,"['Machine Learning', 'taxonomy', 'use cases', 'market advantage', 'decision making', 'financial impact']","The abstract discusses the use of Machine Learning (ML) in marketing, focusing on various applications that enhance decision making, analysis of consumption experiences, and financial impacts. The identification of use cases and their organization into families aligns with strategic analysis in marketing, which corresponds to the Thinking AI category.",0%,0%,100%,0%,0%,"[2021, 2023)",Marketing analytics
Does marketing analytics capability boost firms' competitive marketing performance in data-rich business environment?,Rahman M.S.; Hossain M.A.; Abdel Fattah F.A.M.,2022,10.1108/JEIM-05-2020-0185,"Purpose: Few well-documented studies have explained the importance of researching firms' marketing analytics capability (FMAC). In spite of its significance, there is scant attention to conceptualising and empirically investigating FMAC and its consequences in a data-driven business context. Thus, this study aims to develop and test a conceptual model that relates FMAC and its repercussions in the data-rich business environment. Design/methodology/approach: This study analysed the data from 250 managers amongst large and medium-sized manufacturing and service-intensive firms. Furthermore, this research performed an empirical study by using operationalised questionnaire survey method to verify the hypotheses and reach its theoretical and managerial implications. Structural equation modelling with maximum-likelihood estimation method was applied to verify the validity of the proposed research model. Findings: Multivariate analysis results show that FMAC significantly influences firms' competitive marketing performance (FCMP) with the presence of holistic marketing decision-making (HMDM) as a mediator. Moreover, adoption of artificial intelligence (AAI) enhances the relationship of FMAC-HMDM and FMAC-FCMP linkages. Practical implications: This study analyses how FMAC can enhance FCMP and contributes to resource-based views and technological capability theories. From a managerial perspective, guidelines are provided for marketers to adopt advance technologies, such as AI, to optimise FMAC and HMDM to achieve competitive marketing performance. Originality/value: Believing that “how to be competitive in marketing performance under data-rich-environment”, this research is the first to use the data of a firm manager to facilitate the understanding of FMAC, which provides a new direction for improving marketing performance. In addition, HMDM and AAI are also proposed for firms to optimise FCMP. © 2021, Emerald Publishing Limited.",Artificial intelligence; Competitive marketing performance; Holistic marketing decision; Marketing analytics capability,Emerald Group Holdings Ltd.,scopus-ai,36,Thinking AI,"['marketing analytics capability', 'competitive marketing performance', 'holistic marketing decision-making', 'adoption of artificial intelligence', 'empirical study']","The abstract discusses the relationship between firms' marketing analytics capability (FMAC) and their competitive marketing performance (FCMP), emphasizing the importance of market analysis and decision-making in a data-driven environment. The mention of using artificial intelligence to enhance these relationships further aligns with the strategic analysis focus of Thinking AI.",0%,0%,100%,0%,0%,"[2021, 2023)",Marketing analytics
